{'codigo': '6959619938', 'nome': 'medicamento_321726', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 201242, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '7390125289', 'nome': 'medicamento_920883', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 250245, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '3962360406', 'nome': 'medicamento_521216', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 306248, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '4878073243', 'nome': 'medicamento_670125', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 355251, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '3934909369', 'nome': 'medicamento_541260', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 407254, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '3820780280', 'nome': 'medicamento_975117', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 461257, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '5721042996', 'nome': 'medicamento_534189', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 517260, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '4316261358', 'nome': 'medicamento_497186', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 566263, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '2765038610', 'nome': 'medicamento_211090', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 623266, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '7916083642', 'nome': 'medicamento_608358', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 671269, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '8872785117', 'nome': 'medicamento_169108', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 726272, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '324864586', 'nome': 'medicamento_514876', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 780275, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '2907057903', 'nome': 'medicamento_959438', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 828278, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '7627706880', 'nome': 'medicamento_349', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 878281, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '6186925490', 'nome': 'medicamento_745523', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 928284, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '3975139190', 'nome': 'medicamento_837055', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 21, 981287, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '5351255067', 'nome': 'medicamento_619837', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 36290, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '8584815076', 'nome': 'medicamento_888632', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 86293, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '4102018505', 'nome': 'medicamento_168791', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 138296, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '7462670423', 'nome': 'medicamento_2734', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 197299, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '474997899', 'nome': 'medicamento_728891', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 247302, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '3520248757', 'nome': 'medicamento_564500', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 302305, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '2964180636', 'nome': 'medicamento_503691', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 360308, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '4637058855', 'nome': 'medicamento_424208', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 412311, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '7129393387', 'nome': 'medicamento_47084', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 472315, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '7769873906', 'nome': 'medicamento_933537', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 530318, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '9354687828', 'nome': 'medicamento_87407', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 577321, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '448648400', 'nome': 'medicamento_650043', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 633324, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '9980818544', 'nome': 'medicamento_958036', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 681327, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '1512148879', 'nome': 'medicamento_723421', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 737330, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '8700070771', 'nome': 'medicamento_510826', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 787333, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '3479074463', 'nome': 'medicamento_697174', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 839336, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '1913873438', 'nome': 'medicamento_353103', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 892339, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '644451012', 'nome': 'medicamento_737973', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 942342, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '4766243357', 'nome': 'medicamento_359330', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 22, 995345, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '3443660358', 'nome': 'medicamento_769143', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 23, 50348, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '8115332000', 'nome': 'medicamento_764846', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 23, 108351, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '9301203705', 'nome': 'medicamento_975038', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 23, 171355, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '1750898726', 'nome': 'medicamento_636366', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 23, 222358, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '5060983938', 'nome': 'medicamento_887848', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 23, 272361, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '3077405259', 'nome': 'medicamento_702668', 'created_on': datetime.datetime(2021, 6, 23, 14, 44, 21, 676746, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '1822699835', 'nome': 'medicamento_207398', 'created_on': datetime.datetime(2021, 6, 23, 14, 44, 21, 726749, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '4583495101', 'nome': 'medicamento_367291', 'created_on': datetime.datetime(2021, 6, 23, 14, 44, 21, 779752, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '4354389805', 'nome': 'medicamento_317539', 'created_on': datetime.datetime(2021, 6, 23, 14, 44, 21, 836756, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '7119526948', 'nome': 'medicamento_607232', 'created_on': datetime.datetime(2021, 6, 23, 14, 44, 21, 892759, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
