{'codigo': 4710109568, 'nome': 'medicamento_501599', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 362458, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 5266018175, 'nome': 'medicamento_892690', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 415461, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 5658886161, 'nome': 'medicamento_122486', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 465463, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 6046595757, 'nome': 'medicamento_566331', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 514466, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 6217941758, 'nome': 'medicamento_478563', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 563469, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 1185539720, 'nome': 'medicamento_337682', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 609472, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 6341095821, 'nome': 'medicamento_381475', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 655474, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 5061372412, 'nome': 'medicamento_55872', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 703477, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 5285640405, 'nome': 'medicamento_375689', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 773481, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 1758722053, 'nome': 'medicamento_422292', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 819484, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 187943330, 'nome': 'medicamento_737109', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 865486, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 4019402177, 'nome': 'medicamento_367532', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 907489, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 1536381627, 'nome': 'medicamento_541716', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 949491, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': 1104451787, 'nome': 'medicamento_698602', 'created_on': datetime.datetime(2021, 6, 22, 22, 49, 29, 991494, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
