{'codigo': '9534556013', 'nome': 'medicamento_810352', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 34274, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '2005228679', 'nome': 'medicamento_772349', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 82276, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '1178324202', 'nome': 'medicamento_575631', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 125279, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '1677674361', 'nome': 'medicamento_202222', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 168281, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '9135081632', 'nome': 'medicamento_878176', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 210284, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '8253603906', 'nome': 'medicamento_392823', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 259286, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '6661397012', 'nome': 'medicamento_59495', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 303289, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '4206277380', 'nome': 'medicamento_560937', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 350292, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '2865366534', 'nome': 'medicamento_23898', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 394294, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '1407712290', 'nome': 'medicamento_406425', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 437297, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '8531679192', 'nome': 'medicamento_878793', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 480299, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '8850584110', 'nome': 'medicamento_863707', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 524302, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '6449089268', 'nome': 'medicamento_86168', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 569304, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '38225115', 'nome': 'medicamento_454145', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 625307, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '7521649102', 'nome': 'medicamento_851500', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 678310, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '500304000', 'nome': 'medicamento_908864', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 724313, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '1510367955', 'nome': 'medicamento_888406', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 775316, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '2907329285', 'nome': 'medicamento_683687', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 819318, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '971068117', 'nome': 'medicamento_963264', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 867321, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '2065952279', 'nome': 'medicamento_205407', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 911324, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '8348876711', 'nome': 'medicamento_588223', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 13, 958326, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '7736875073', 'nome': 'medicamento_642847', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 3329, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '4804965115', 'nome': 'medicamento_519160', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 47331, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '8631968488', 'nome': 'medicamento_53681', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 90334, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '1355435892', 'nome': 'medicamento_887904', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 134336, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '5801149157', 'nome': 'medicamento_396191', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 177339, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '749913003', 'nome': 'medicamento_799681', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 228342, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '4362020954', 'nome': 'medicamento_829337', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 288345, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '8921095585', 'nome': 'medicamento_230185', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 337348, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '1276540280', 'nome': 'medicamento_599774', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 387351, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '7687787180', 'nome': 'medicamento_90432', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 434354, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '2637685351', 'nome': 'medicamento_810316', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 478356, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '4096369743', 'nome': 'medicamento_629359', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 521359, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '3438582333', 'nome': 'medicamento_831507', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 564361, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '2115733413', 'nome': 'medicamento_611419', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 612364, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '5533182296', 'nome': 'medicamento_375038', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 657366, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '8475695633', 'nome': 'medicamento_701430', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 701369, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '1567984886', 'nome': 'medicamento_297995', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 748372, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '3814097050', 'nome': 'medicamento_864367', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 800375, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '3735843669', 'nome': 'medicamento_131586', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 847377, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
{'codigo': '1004883244', 'nome': 'medicamento_251622', 'created_on': datetime.datetime(2021, 6, 22, 23, 0, 14, 891380, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None}
